ci,lac,latitude,longitude,cell_name,address
12211,26118,10.79863,106.75057,3G_Q02056F11_HCM,"Imperia, Thành phố, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam"
12212,26118,10.79863,106.75057,3G_Q02056F12_HCM,"Imperia, Thành phố, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam"
13191,26118,10.777418,106.756964,3G_Q02125F11_HCM,"2 Phan Văn Đáng, Phường Thạnh Mỹ Lợi, Quận 2, Thành phố Hồ Chí Minh 70000, Vietnam"
13192,26118,10.777418,106.756964,3G_Q02125F12_HCM,"2 Phan Văn Đáng, Phường Thạnh Mỹ Lợi, Quận 2, Thành phố Hồ Chí Minh 70000, Vietnam"
13193,26118,10.777418,106.756964,3G_Q02125F13_HCM,"2 Phan Văn Đáng, Phường Thạnh Mỹ Lợi, Quận 2, Thành phố Hồ Chí Minh 70000, Vietnam"
13211,26118,10.790478,106.770327,3G_Q02133F11_HCM,"The Krista, 537 Đ. Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
13212,26118,10.790478,106.770327,3G_Q02133F12_HCM,"The Krista, 537 Đ. Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
13221,26118,10.788481,106.767847,3G_Q02136F11_HCM,"Đ. Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Thành phố Hồ Chí Minh, Vietnam"
12821,26118,10.789382,106.768041,3G_Q02179F11_HCM,"Binh Trung Tay, Quận 2, Ho Chi Minh City, Vietnam"
12822,26118,10.789382,106.768041,3G_Q02179F12_HCM,"Binh Trung Tay, Quận 2, Ho Chi Minh City, Vietnam"
13381,26118,10.778357,106.756519,3G_Q02192F11_HCM,
13382,26118,10.778357,106.756519,3G_Q02192F12_HCM,
13383,26118,10.778357,106.756519,3G_Q02192F13_HCM,
13281,26118,10.778938,106.754114,3G_Q02186F11_HCM,
